Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
37,1,6/6/2019,Jake Marisnick,HOU,@SEA,Anthony Bass,tied 6-6,0,1,7,8,Out,t10,12-,0,1(0-0),0,0.02,-0.09,3.69,Bunt Groundout: 3B-2B/Sacrifice; Chirinos to 3B; White to 2B
38,1,6/7/2019,Victor Robles,WSN,@SDP,Adam Warren,tied 3-3,0,1,7,8,Out,t9,-2-,0,2(1-0),0,0,-0.18,2.64,Bunt Groundout: P-2B/Sacrifice; Dozier to 3B
39,1,6/18/2019,Jackie Bradley Jr.,BOS,@MIN,Matt Magill,tied 3-3,0,0,8,8,Out,t14,12-,0,2(0-1),0,0.02,-0.1,3.64,Bunt Groundout: C-SS-2B/Sacrifice; Holt to 3B; Chavis to 2B
40,1,6/23/2019,Starling Marte,PIT,SDP,Kirby Yates,down 7-6,-1,0,3,8,Out,b9,12-,0,2(0-1),0,0.02,-0.09,6.08,Bunt Groundout: P-1B/Sacrifice (Front of Home); Newman to 3B; Reynolds to 2B
41,1,8/22/2020,Cedric Mullins,BAL,BOS,Matt Barnes,down 4-3,-1,1,9,8,FC,b10,-2-,0,1(0-0),0,0.21,0.72,4.31,Fielder's Choice /Sacrifice Bunt; Ruiz to 3B; Mullins to 1B
42,1,8/28/2020,Cedric Mullins,BAL,@TOR,Rafael Dolis,tied 3-3,0,1,9,8,Out,t10,-2-,0,4(2-1),0,-0.02,-0.19,3.94,Bunt Groundout: P-2B/Sacrifice; Ruiz to 3B
43,1,5/8/2021,Cristian Pache,ATL,PHI,Matt Moore,tied 7-7,0,1,8,8,FC,b12,-2-,0,1(0-0),0,0.12,0.72,2.54,Fielder's Choice /Sacrifice Bunt; Contreras to 3B; Pache to 1B
44,1,6/23/2021,Juan Lagares,LAA,SFG,Zack Littell,tied 1-1,0,0,8,8,Out,b10,-2-,0,3(1-1),0,0.02,-0.2,2.53,Bunt Groundout: P-2B/Sacrifice; Suzuki to 3B
45,1,9/2/2021,Rafael Ortega,CHC,PIT,Sam Howard,tied 5-5,0,1,1,8,Out,b11,-2-,0,1(0-0),0,0.02,-0.18,2.57,Bunt Groundout: C-1B/Sacrifice; Alcántara to 3B
46,1,9/8/2021,Magneuris Sierra,MIA,NYM,Edwin Díaz,tied 1-1,0,1,3,8,Out,b10,-2-,0,2(1-0),0,0.02,-0.18,2.57,Bunt Groundout: P-2B/Sacrifice (Front of Home); Chisholm to 3B
47,1,9/17/2021,Garrett Hampson,COL,@WSN,Kyle Finnegan,tied 8-8,0,1,1,8,Out,t9,12-,0,3(1-1),0,0.02,-0.08,3.75,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Hilliard to 3B; Tapia to 2B
48,1,5/18/2022,Victor Robles,WSN,@MIA,Daniel Castano,tied 4-4,0,1,5,8,Out,t10,-2-,0,2(1-0),0,-0.02,-0.18,3.94,Bunt Groundout: P-2B/Sacrifice; Strange-Gordon to 3B
49,1,7/8/2022,Nick Senzel,CIN,TBR,Matt Wisler,tied 1-1,0,1,7,8,Out,b10,-2-,0,2(1-0),0,0.02,-0.2,2.52,Bunt Groundout: 3B-2B/Sacrifice (Weak 3B); Kolozsvary to 3B
50,1,7/10/2022,Victor Robles,WSN,@ATL,Jesse Chavez,tied 3-3,0,0,9,8,Out,t10,-2-,0,1(0-0),0,-0.02,-0.18,3.94,Bunt Groundout: C-2B/Sacrifice; Escobar to 3B
51,1,7/16/2022,Brett Phillips,TBR,BAL,Jorge López,down 4-3,-1,0,3,8,Out,b10,-2-,0,2(1-0),0,-0.03,-0.16,4.39,Bunt Groundout: C-2B/Sacrifice; Lowe to 3B
52,1,8/10/2022,Cal Stevenson,OAK,LAA,Jaime Barria,down 4-3,-1,0,9,8,Out,b10,-2-,0,1(0-0),0,-0.03,-0.16,4.38,Bunt Groundout: P-1B/Sacrifice (Front of Home); Bolt to 3B
53,1,9/7/2022,Mauricio Dubón,HOU,TEX,Jonathan Hernández,tied 3-3,0,1,9,8,Out,b10,-2-,0,3(1-1),0,0.02,-0.17,2.62,Bunt Groundout: P-2B/Sacrifice; Vázquez to 3B
54,1,2022-09-17 (2),Ben DeLuzio,STL,CIN,Alexis Díaz,tied 0-0,0,0,6,8,Out,b10,-2-,0,1(0-0),0,0.02,-0.17,2.63,Bunt Groundout: P-2B/Sacrifice; Dickerson to 3B
55,1,9/28/2022,Victor Robles,WSN,ATL,Jackson Stephens,tied 2-2,0,1,8,8,Out,b10,-2-,0,3(0-2),0,0.02,-0.16,2.64,Bunt Groundout: P-2B/Sacrifice (Front of Home); Call to 3B
56,1,10/3/2022,Cristian Pache,OAK,LAA,Zack Weiss,tied 4-4,0,1,8,8,Out,b10,-2-,0,3(2-0),0,0.02,-0.16,2.65,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Bride to 3B
